file,model,mode,N,uCLiD,alpha,nCLiD,nCLiD_local_socratic,n_socratic,nCLiD_local_validation,n_validation,nCLiD_local_alternative,n_alternative
cbt_mcot_transcript_1.json,gemma3:12b,cbt_mcot,10,0.30264613032341003,1.6202380316125022,0.18679115316297623,0.18679115316297623,10,,0,,0
cbt_mcot_transcript_10.json,gemma3:12b,cbt_mcot,10,0.36026300191879274,1.7803997837834888,0.20234949768035002,0.2000612535295507,8,0.16222723079411622,1,0.26077771777297815,1
cbt_mcot_transcript_11.json,gemma3:12b,cbt_mcot,10,0.35392812490463255,1.8227317151096132,0.1941745578741677,0.1961592068958507,9,0.1763127166790209,1,,0
cbt_mcot_transcript_12.json,gemma3:12b,cbt_mcot,10,0.3405872344970703,1.7869179450803334,0.19060037727796098,0.19721329278392968,9,0.1310841377242429,1,,0
cbt_mcot_transcript_13.json,gemma3:12b,cbt_mcot,10,0.3574280023574829,1.9393399990267224,0.18430393976139398,0.19010281223078823,8,0.16110844988381695,2,,0
cbt_mcot_transcript_14.json,gemma3:12b,cbt_mcot,10,0.38284110724925996,1.9258920116557017,0.1987863831057324,0.21346258956772962,6,0.17677207341273657,4,,0
cbt_mcot_transcript_2.json,gemma3:12b,cbt_mcot,10,0.32710506916046145,1.5435132255156836,0.21192242719603296,0.2104662134384446,4,0.2128932363677585,6,,0
cbt_mcot_transcript_3.json,gemma3:12b,cbt_mcot,10,0.4166318476200104,1.8962036573224599,0.21971893473104923,0.2364446307757265,8,0.15281615055234005,2,,0
cbt_mcot_transcript_4.json,gemma3:12b,cbt_mcot,10,0.33850358724594115,1.636689098013772,0.20682216778784507,0.22108494924210245,4,0.19731364681834015,6,,0
cbt_mcot_transcript_5.json,gemma3:12b,cbt_mcot,10,0.3459899306297302,1.9630766924884584,0.17624880981656524,0.17850275302809948,9,0.15596332091275705,1,,0
cbt_mcot_transcript_6.json,gemma3:12b,cbt_mcot,10,0.3936585247516632,1.8678730204701424,0.21075229442126617,0.20629783883944539,9,0.2508423946576535,1,,0
cbt_mcot_transcript_7.json,gemma3:12b,cbt_mcot,10,0.4160956382751465,1.7729259953730636,0.23469430724184887,0.23469430724184887,10,,0,,0
cbt_mcot_transcript_8.json,gemma3:12b,cbt_mcot,10,0.384328219294548,1.902220262462894,0.20204191222153223,0.2031687633889254,6,0.20035163547044244,4,,0
cbt_mcot_transcript_9.json,gemma3:12b,cbt_mcot,10,0.34612554907798765,1.7124592653579183,0.20212191675440788,0.21174039228476588,9,0.11555563698118629,1,,0
