file,model,mode,N,uCLiD,alpha,nCLiD,nCLiD_local_socratic,n_socratic,nCLiD_local_validation,n_validation,nCLiD_local_alternative,n_alternative
cbt_mcot_transcript_1.json,gpt-oss:20b,cbt_mcot,10,0.32248201966285706,2.019394742076596,0.15969241324815991,0.15015598468823924,2,0.16207652038814008,8,,0
cbt_mcot_transcript_10.json,gpt-oss:20b,cbt_mcot,10,0.3949615597724915,2.0182819883028666,0.1956919608169356,,0,0.1956919608169356,10,,0
cbt_mcot_transcript_11.json,gpt-oss:20b,cbt_mcot,10,0.3299047231674194,1.765302492843734,0.18688282858309138,,0,0.18688282858309138,10,,0
cbt_mcot_transcript_12.json,gpt-oss:20b,cbt_mcot,10,0.35934028029441833,1.9006929722097186,0.18905750983897965,0.1485016157365226,2,0.19919648336459392,8,,0
cbt_mcot_transcript_13.json,gpt-oss:20b,cbt_mcot,10,0.3304500222206116,1.9421632144600154,0.1701453409066279,0.17177333165735442,1,0.16996445304543603,9,,0
cbt_mcot_transcript_14.json,gpt-oss:20b,cbt_mcot,10,0.31231849193572997,2.0985213515659176,0.14882788383481435,0.1486880039358699,2,0.14886285380955047,8,,0
cbt_mcot_transcript_2.json,gpt-oss:20b,cbt_mcot,10,0.3819575846195221,1.9459974042243429,0.1962785684042405,0.17698701442548329,6,0.2252158993723763,4,,0
cbt_mcot_transcript_3.json,gpt-oss:20b,cbt_mcot,10,0.3142754226922989,1.9230143464273877,0.1634285377413672,0.20028645467925896,2,0.15421405850689426,8,,0
cbt_mcot_transcript_4.json,gpt-oss:20b,cbt_mcot,10,0.3083183467388153,1.757564764883783,0.1754236048076456,,0,0.1754236048076456,10,,0
cbt_mcot_transcript_5.json,gpt-oss:20b,cbt_mcot,10,0.3508643746376038,1.9083016883995798,0.18386210983854467,,0,0.18386210983854467,10,,0
cbt_mcot_transcript_6.json,gpt-oss:20b,cbt_mcot,10,0.3748252809047699,1.900747683292462,0.1971988624263375,0.26237427452772377,3,0.1692665429543148,7,,0
cbt_mcot_transcript_7.json,gpt-oss:20b,cbt_mcot,10,0.32785738110542295,1.872843046486378,0.17505865305718646,0.2137826378064977,1,0.17075598808504078,9,,0
cbt_mcot_transcript_8.json,gpt-oss:20b,cbt_mcot,10,0.3411059439182281,1.9250931441783905,0.17718931935826335,0.2321562584163298,1,0.17108188168514485,9,,0
cbt_mcot_transcript_9.json,gpt-oss:20b,cbt_mcot,10,0.3707313179969788,2.008776274571816,0.18455580279889686,0.24183491692435097,5,0.12727668867344274,5,,0
