file,N,perturbation,mean_F_A,mean_F_B,mean_F_C,mean_F_D,mean_F_A_socratic,mean_F_B_socratic,mean_F_C_socratic,mean_F_D_socratic,mean_F_E_socratic,n_socratic,mean_F_A_validation,mean_F_B_validation,mean_F_C_validation,mean_F_D_validation,mean_F_E_validation,n_validation,mean_F_A_alternative,mean_F_B_alternative,mean_F_C_alternative,mean_F_D_alternative,mean_F_E_alternative,n_alternative
cbt_mcot_transcript_1.json,10,0.06981513897577922,0.016553901416146762,0.00612825228991951,0.00917452589485437,0.011609347503535402,0.007801217441051196,0.003306403497058432,0.005377318948761882,0.006322904316449775,0.006848415263020603,2,0.018742072409920655,0.006833714488134779,0.010123827631377494,0.012930958300306807,0.014106819163188868,8,,,,,,0
cbt_mcot_transcript_10.json,10,0.06061716874440511,0.0029616606848951923,0.0010046428733390535,0.0014393130943794674,0.0017552331539926712,,,,,,0,0.0029616606848951923,0.0010046428733390535,0.0014393130943794674,0.0017552331539926712,0.0018867335641304186,10,,,,,,0
cbt_mcot_transcript_11.json,10,0.04133299986521403,0.012687243773099812,0.004235155606178318,0.006147948835759528,0.008438878514606419,,,,,,0,0.012687243773099812,0.004235155606178318,0.006147948835759528,0.008438878514606419,0.008925148230457565,10,,,,,,0
cbt_mcot_transcript_12.json,10,0.0441131591796875,0.010189967035915985,0.002994900716170681,0.00413806332735464,0.005247679786843718,0.019429151471698675,0.006801450175556504,0.010059307582172678,0.01322290158423368,0.014000438291928416,2,0.007880170926970314,0.002043263351324225,0.00265775226365013,0.0032538743374962284,0.0034313642580511643,8,,,,,,0
cbt_mcot_transcript_13.json,10,0.05714287360509237,0.018117758227457006,0.006310441170100961,0.009275400114216795,0.010611308844627382,0.02132760326408937,0.008764093544668798,0.014073573683865004,0.01539634779714371,0.016364028164592797,1,0.0177611087789423,0.006037813128482313,0.008742269717589216,0.010079637849903345,0.010749585446646389,9,,,,,,0
cbt_mcot_transcript_14.json,10,0.05254334211349487,0.01574425795681645,0.005699906651687701,0.008629036672414676,0.010369323612300776,0.022585325599743983,0.009474093539477327,0.015522312416193413,0.01845224771930018,0.019616343225765137,2,0.014033991046084562,0.004756359929740294,0.006905717736469991,0.008348592585550924,0.008884796046196523,8,,,,,,0
cbt_mcot_transcript_2.json,10,0.04799882570902506,0.014469192737662197,0.005222523162875207,0.00781374394695159,0.008586806628625345,0.0122970508274167,0.004439691044551246,0.006656405624352772,0.0072458256331690485,0.00762602937817821,6,0.017727405603030447,0.006396771340361148,0.009549751430849818,0.010598278121809787,0.01116582794482351,4,,,,,,0
cbt_mcot_transcript_3.json,10,0.04233664274215698,0.014459916939242406,0.005149411451736624,0.007793119388572177,0.009934971947843606,0.0359278354820662,0.013334694056183776,0.020343700472451248,0.02359780199197947,0.024764559537614,2,0.009092937303536459,0.0031030908006248357,0.0046554741176024084,0.00651926443680964,0.006912428431694214,8,,,,,,0
cbt_mcot_transcript_4.json,10,0.0605161190032959,0.023027160832794356,0.007695560272721232,0.01100338321386625,0.014047615617338343,,,,,,0,0.023027160832794356,0.007695560272721232,0.01100338321386625,0.014047615617338343,0.01515139640912801,10,,,,,,0
cbt_mcot_transcript_5.json,10,0.05858407417933146,0.007518530812750888,0.0022337139042044284,0.0030223359101576603,0.003839024516337687,,,,,,0,0.007518530812750888,0.0022337139042044284,0.0030223359101576603,0.003839024516337687,0.0041292988843478545,10,,,,,,0
cbt_mcot_transcript_6.json,10,0.04911917448043823,0.016933110190847554,0.005848172703953497,0.008651082993854656,0.010442954294799672,0.02072852462219131,0.008335137893688355,0.013351342582166852,0.015718505660571702,0.016635459229341176,3,0.015306504005985943,0.004782330479781415,0.006636686027435143,0.0081820037094688,0.00868320807192802,7,,,,,,0
cbt_mcot_transcript_7.json,10,0.06756218274434407,0.013762351738999501,0.004550793340499755,0.006414263111613093,0.007159964657763809,3.0743663494718826e-07,1.1826404771529909e-07,1.8003501221568164e-07,1.8504032047466982e-07,1.9791380067330082e-07,1,0.015291467772595562,0.005056423904549981,0.00712693900901319,0.007955495726368625,0.008560223326679819,9,,,,,,0
cbt_mcot_transcript_8.json,10,0.041601220766703285,0.006450944553501581,0.0023421334993169347,0.0035744561977826194,0.004464936121105352,0.0068887046489892285,0.002910849791293116,0.004839571907258879,0.005296685220901266,0.005538797781621825,1,0.006402304542891842,0.0022789428002084697,0.0034338877856185906,0.004372519554461361,0.004606807714443715,9,,,,,,0
cbt_mcot_transcript_9.json,10,0.05492711067199707,0.01489606590368055,0.005546516576567455,0.008403539828453856,0.009319227988910184,0.021341149459001417,0.00800840253694279,0.0121818972134707,0.013405285942967813,0.014220039480145243,5,0.008450982348359684,0.003084630616192119,0.004625182443437013,0.005233170034852558,0.005560763078021003,5,,,,,,0
