source,relation,target
225823009,INTERPRETS,363896009
225823009,INTERPRETS,3850002
95316006,IS_A,95934001
95316006,IS_A,225818009
95316006,INTERPRETS,363896009
95316006,INTERPRETS,3850002
95317002,IS_A,225818009
95317002,INTERPRETS,363896009
95317002,INTERPRETS,3850002
363652006,IS_A,95317002
363652006,INTERPRETS,363896009
363652006,INTERPRETS,3850002
95930005,IS_A,225818009
95930005,INTERPRETS,363896009
95930005,INTERPRETS,3850002
95931009,IS_A,95930005
95931009,INTERPRETS,363896009
95931009,INTERPRETS,3850002
95932002,IS_A,95930005
95932002,INTERPRETS,363896009
95932002,INTERPRETS,3850002
95933007,IS_A,95930005
95933007,INTERPRETS,363896009
95933007,INTERPRETS,3850002
422379007,IS_A,95930005
422379007,INTERPRETS,363896009
422379007,INTERPRETS,3850002
422566002,IS_A,95930005
422566002,IS_A,225858006
422566002,INTERPRETS,363896009
422566002,INTERPRETS,3850002
423562005,IS_A,95930005
423562005,INTERPRETS,363896009
423562005,INTERPRETS,3850002
423217007,IS_A,25622003
423217007,IS_A,95930005
423217007,INTERPRETS,224475003
423217007,INTERPRETS,363896009
423217007,INTERPRETS,3850002
419686005,IS_A,95930005
419686005,INTERPRETS,363896009
419686005,INTERPRETS,3850002
397660003,IS_A,419686005
397660003,INTERPRETS,363896009
397660003,INTERPRETS,3850002
231421000119102,IS_A,419686005
231421000119102,INTERPRETS,363896009
231421000119102,INTERPRETS,3850002
231431000119104,IS_A,95930005
231431000119104,INTERPRETS,363896009
231431000119104,INTERPRETS,3850002
386702006,IS_A,225818009
386702006,INTERPRETS,363896009
386702006,INTERPRETS,3850002
95318007,IS_A,386702006
95318007,INTERPRETS,363896009
95318007,INTERPRETS,3850002
397940009,IS_A,386702006
397940009,INTERPRETS,363896009
397940009,INTERPRETS,3850002
102457005,IS_A,397940009
102457005,IS_A,225824003
102457005,INTERPRETS,363896009
102457005,INTERPRETS,3850002
397864009,IS_A,102457005
397864009,INTERPRETS,363896009
397864009,INTERPRETS,3850002
102458000,IS_A,397940009
102458000,INTERPRETS,363896009
102458000,INTERPRETS,3850002
401316003,IS_A,397940009
401316003,INTERPRETS,363896009
401316003,INTERPRETS,3850002
289431000119109,IS_A,397940009
289431000119109,INTERPRETS,363896009
289431000119109,INTERPRETS,3850002
237461000119103,IS_A,225824003
237461000119103,IS_A,397940009
237461000119103,INTERPRETS,363896009
237461000119103,INTERPRETS,3850002
473453008,IS_A,397940009
473453008,IS_A,95924005
473453008,IS_A,419916003
473453008,INTERPRETS,363896009
473453008,INTERPRETS,3850002
700229002,IS_A,225826001
700229002,IS_A,397940009
700229002,INTERPRETS,228465009
700229002,INTERPRETS,364644000
700229002,INTERPRETS,3850002
713834002,IS_A,700229002
713834002,INTERPRETS,228465009
713834002,INTERPRETS,364644000
713834002,INTERPRETS,3850002
225826001,IS_A,386702006
225826001,IS_A,102950001
225826001,INTERPRETS,228465009
225826001,INTERPRETS,364644000
225826001,INTERPRETS,3850002
225830003,IS_A,225826001
225830003,INTERPRETS,228465009
225830003,INTERPRETS,364644000
225830003,INTERPRETS,3850002
56890008,IS_A,225826001
56890008,IS_A,90774003
56890008,INTERPRETS,228465009
56890008,INTERPRETS,364644000
56890008,INTERPRETS,3850002
42085001,IS_A,56890008
42085001,INTERPRETS,228465009
42085001,INTERPRETS,364644000
42085001,INTERPRETS,3850002
17044007,IS_A,42085001
17044007,IS_A,70295002
17044007,INTERPRETS,364644000
17044007,INTERPRETS,228465009
17044007,INTERPRETS,3850002
713820002,IS_A,56890008
713820002,IS_A,706893006
713820002,INTERPRETS,228465009
713820002,INTERPRETS,364644000
713820002,INTERPRETS,3850002
713821003,IS_A,56890008
713821003,INTERPRETS,228465009
713821003,INTERPRETS,364644000
713821003,INTERPRETS,3850002
242973005,IS_A,225826001
242973005,INTERPRETS,228465009
242973005,INTERPRETS,364644000
242973005,INTERPRETS,3850002
242974004,IS_A,225826001
242974004,INTERPRETS,228465009
242974004,INTERPRETS,364644000
242974004,INTERPRETS,3850002
417876002,IS_A,225826001
417876002,INTERPRETS,228465009
417876002,INTERPRETS,364644000
417876002,INTERPRETS,3850002
419951006,IS_A,417876002
419951006,INTERPRETS,228465009
419951006,INTERPRETS,364644000
419951006,INTERPRETS,3850002
418150003,IS_A,417876002
418150003,INTERPRETS,228465009
418150003,INTERPRETS,364644000
418150003,INTERPRETS,3850002
420180008,IS_A,417876002
420180008,INTERPRETS,228465009
420180008,INTERPRETS,364644000
420180008,INTERPRETS,3850002
149141000119102,IS_A,225826001
149141000119102,IS_A,406137001
149141000119102,INTERPRETS,228465009
149141000119102,INTERPRETS,364644000
149141000119102,INTERPRETS,3850002
29231000119109,IS_A,149141000119102
29231000119109,INTERPRETS,228465009
29231000119109,INTERPRETS,364644000
29231000119109,INTERPRETS,3850002
718495005,IS_A,29231000119109
718495005,INTERPRETS,3850002
718495005,INTERPRETS,228465009
718495005,INTERPRETS,364644000
10761061000119107,IS_A,225826001
10761061000119107,IS_A,118185001
10761061000119107,INTERPRETS,228465009
10761061000119107,INTERPRETS,364644000
10761061000119107,INTERPRETS,3850002
10761021000119102,IS_A,225826001
10761021000119102,IS_A,118185001
10761021000119102,INTERPRETS,228465009
10761021000119102,INTERPRETS,364644000
10761021000119102,INTERPRETS,3850002
225827005,IS_A,386702006
225827005,INTERPRETS,363896009
225827005,INTERPRETS,3850002
225828000,IS_A,386702006
225828000,INTERPRETS,363896009
225828000,INTERPRETS,3850002
90774003,IS_A,386702006
90774003,INTERPRETS,363896009
90774003,INTERPRETS,3850002
2268003,IS_A,90774003
2268003,INTERPRETS,363896009
2268003,INTERPRETS,3850002
74715005,IS_A,90774003
74715005,IS_A,225824003
74715005,INTERPRETS,363896009
74715005,INTERPRETS,3850002
78077007,IS_A,90774003
78077007,IS_A,225824003
78077007,INTERPRETS,363896009
78077007,INTERPRETS,3850002
160800006,IS_A,78077007
160800006,INTERPRETS,363896009
160800006,INTERPRETS,3850002
160801005,IS_A,78077007
160801005,INTERPRETS,363896009
160801005,INTERPRETS,3850002
213012007,IS_A,78077007
213012007,INTERPRETS,363896009
213012007,INTERPRETS,3850002
213013002,IS_A,78077007
213013002,INTERPRETS,363896009
213013002,INTERPRETS,3850002
80520008,IS_A,90774003
80520008,INTERPRETS,363896009
80520008,INTERPRETS,3850002
95924005,IS_A,386702006
95924005,INTERPRETS,363896009
95924005,INTERPRETS,3850002
225825002,IS_A,95924005
225825002,IS_A,419916003
225825002,INTERPRETS,363896009
225825002,INTERPRETS,3850002
423402005,IS_A,225825002
423402005,INTERPRETS,363896009
423402005,INTERPRETS,3850002
95925006,IS_A,95924005
95925006,IS_A,419916003
95925006,INTERPRETS,363896009
95925006,INTERPRETS,3850002
10760981000119107,IS_A,118185001
10760981000119107,IS_A,95925006
10760981000119107,INTERPRETS,363896009
10760981000119107,INTERPRETS,3850002
10760941000119102,IS_A,95925006
10760941000119102,INTERPRETS,363896009
10760941000119102,INTERPRETS,3850002
95926007,IS_A,419916003
95926007,IS_A,95924005
95926007,INTERPRETS,363896009
95926007,INTERPRETS,3850002
95927003,IS_A,95924005
95927003,IS_A,419916003
95927003,INTERPRETS,363896009
95927003,INTERPRETS,3850002
95929000,IS_A,95924005
95929000,IS_A,419916003
95929000,IS_A,706872008
95929000,INTERPRETS,363896009
95929000,INTERPRETS,3850002
406137001,IS_A,386702006
406137001,INTERPRETS,363896009
406137001,INTERPRETS,3850002
207871000119100,IS_A,406137001
207871000119100,IS_A,419916003
207871000119100,INTERPRETS,363896009
207871000119100,INTERPRETS,3850002
237451000119100,IS_A,225824003
237451000119100,IS_A,406137001
237451000119100,INTERPRETS,363896009
237451000119100,INTERPRETS,3850002
288671000119101,IS_A,237451000119100
288671000119101,INTERPRETS,363896009
288671000119101,INTERPRETS,3850002
288681000119103,IS_A,237451000119100
288681000119103,INTERPRETS,363896009
288681000119103,INTERPRETS,3850002
706872008,IS_A,406137001
706872008,INTERPRETS,363896009
706872008,INTERPRETS,3850002
225824003,IS_A,386702006
225824003,INTERPRETS,363896009
225824003,INTERPRETS,3850002
10756261000119102,IS_A,225824003
10756261000119102,IS_A,118185001
10756261000119102,INTERPRETS,363896009
10756261000119102,INTERPRETS,3850002
10756301000119105,IS_A,225824003
10756301000119105,IS_A,118185001
10756301000119105,INTERPRETS,363896009
10756301000119105,INTERPRETS,3850002
419916003,IS_A,386702006
419916003,INTERPRETS,363896009
419916003,INTERPRETS,3850002
423344000,IS_A,386702006
423344000,INTERPRETS,363896009
423344000,INTERPRETS,3850002
