model,protocol,n,median_shift,mean_shift,W,p_value,sig
GPT,socratic,25,0.11412,0.06803,94.0,0.0667,ns
GPT,validation,115,-0.04349,-0.05343,1771.0,1e-05,***
Gemma,socratic,109,-0.0026,0.00644,2906.0,0.78207,ns
Gemma,validation,30,-0.09622,-0.1127,14.0,0.0,***
Gemma,alternative,1,0.18394,0.18394,0.0,1.0,ns
Mistral,socratic,36,0.10395,0.10512,86.0,4e-05,***
Mistral,validation,90,0.00299,-0.00011,1991.0,0.82016,ns
Mistral,alternative,14,0.11875,0.08819,19.0,0.03528,*
