turn,mean_cumulative_valence,sem_valence,mean_cumulative_arousal,sem_arousal,mean_cumulative_dominance,sem_dominance
1,0.11488955353647669,0.01462747059559543,-0.08631993699030958,0.014017061403087195,0.025902155205143256,0.013064442301122163
2,0.11172802838396703,0.011468573680247103,-0.07705399364310747,0.009109517396846057,0.03156180271686677,0.008908606692151091
3,0.11653142785068583,0.008538615053503536,-0.07279450596000936,0.006740792071389952,0.03637760766850633,0.0060803425297986605
4,0.1158921816767907,0.008132305554900271,-0.06930648328584738,0.006770775103528936,0.03853128861779388,0.005144340162826323
5,0.11904202408503517,0.008352204772919309,-0.06719656123873427,0.005956424731278822,0.04063862001317981,0.0038826967769068402
6,0.1216465729472097,0.007103754705016164,-0.06532048645630807,0.00468659479478296,0.0419583618795487,0.0036887038774394533
7,0.12115785837876172,0.008022647131839042,-0.06245607434535154,0.004576211843722649,0.04254577311045436,0.0037039725898197796
8,0.1244556248285407,0.008531157071565208,-0.061591696877828894,0.0039489988826029955,0.04394128006440812,0.003430360499367646
9,0.12339722867713686,0.0077437743105049275,-0.06028413965794665,0.0036697501161973042,0.042472132179841686,0.0036191121015736053
10,0.12196638351261439,0.0077981945758614475,-0.05774149068090319,0.0034563011706323045,0.04309162020172487,0.0037604130849662786
