turn,mean_cumulative_valence,sem_valence,mean_cumulative_arousal,sem_arousal,mean_cumulative_dominance,sem_dominance
1,0.11488955353647669,0.01462747059559543,-0.08631993699030958,0.014017061403087195,0.025902155205143256,0.013064442301122163
2,0.10860271304902894,0.010275153711583671,-0.08002123149802289,0.010202624071390389,0.023008329107895187,0.008541226646390135
3,0.11438391295577752,0.009347503141571754,-0.07105604769410034,0.00913322550047406,0.024876242748323344,0.006803885535799538
4,0.11545132035757996,0.010136628582525292,-0.06910599916198724,0.008897836384908958,0.02415737397386739,0.006646977256785771
5,0.11710124381878449,0.009917618858912234,-0.0658717607885803,0.0075965502466978484,0.026996492144442236,0.005898602274453077
6,0.11659474791264016,0.009315441832904208,-0.06580456353733231,0.006560458163271523,0.028951979585187217,0.005534625727678876
7,0.11778515006389177,0.009133320172393992,-0.06545079690891617,0.0057825674495536545,0.030285822627571117,0.005575248095690364
8,0.1137081221887432,0.008679695643062186,-0.06253700953698749,0.005321381677801164,0.028689706806845072,0.005230440371486798
9,0.11352052374442805,0.008089799754905922,-0.06244153987795954,0.005224324914201991,0.0294894529911837,0.004982727995843955
10,0.11327650645472405,0.007537098724632515,-0.06326990352156933,0.005306227511046343,0.027768127003504443,0.004913974133607693
