turn,mean_cumulative_valence,sem_valence,mean_cumulative_arousal,sem_arousal,mean_cumulative_dominance,sem_dominance
1,0.1152943154412386,0.014717109526087999,-0.08936160365697625,0.013714607141703142,0.020452750443238497,0.010768824879207805
2,0.12607462198290903,0.011641033347129291,-0.07674005836904078,0.007577897199416869,0.03570871522130982,0.0091958140527077
3,0.130690150166729,0.011071927030101639,-0.06974138196803156,0.006266016616693611,0.0422858748797551,0.007627462594018287
4,0.13066144156848927,0.009691226216230421,-0.06640085165772297,0.00476039323080652,0.04464869693983863,0.007998608491945228
5,0.13024173123473912,0.00877945193001919,-0.05871034860141318,0.005644460530923461,0.04625825078315174,0.007855920613631622
6,0.12844104620659705,0.008644872035711102,-0.05482680572668825,0.006395625974950406,0.04648523205679654,0.0072505682994249586
7,0.12779706644934474,0.0091606959747569,-0.05341598839212028,0.00738744713775756,0.04745835534005254,0.0066205662986033075
8,0.12835996502124863,0.006988756197512645,-0.054594225093373416,0.007094775949195178,0.047666194599767495,0.00506100122685465
9,0.1289358594873591,0.006040687635047348,-0.05239259508935295,0.005904481696250997,0.05002697883404931,0.004775167861258705
10,0.12813580158202076,0.005297706039859076,-0.05133043415258089,0.005539944029017623,0.052772276784850754,0.00481389417995906
